Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	SCABER URINARY TRACT	1/114	0.9992789674693262	1.0	0	0	0.1429817412316447	0.00010313167183525351	CYP2A13
Cancer_Cell_Line_Encyclopedia	NCIH1944 LUNG	3/184	0.9992832894726236	1.0	0	0	0.2657595407675135	0.00019054095013045175	RIT1;CATSPERB;PRIMA1
Cancer_Cell_Line_Encyclopedia	MHHNB11 AUTONOMIC GANGLIA	15/485	0.9992851816062972	1.0	0	0	0.5041211907342525	0.00036048395542829967	SYT5;RTN1;LSAMP;RFNG;MYT1;SPATA7;DLK1;BEGAIN;EML5;TTC8;JPH3;GRM7;BTBD2;SCN3B;UNC79
Cancer_Cell_Line_Encyclopedia	HCC1187 BREAST	2/152	0.9992950766997286	1.0	0	0	0.21447261184746705	0.00015124005394534032	TLR6;FBLN5
Cancer_Cell_Line_Encyclopedia	BL70 HAEMATOPOIETIC AND LYMPHOID TISSUE	7/295	0.9992985000723112	1.0	0	0	0.3867777271283135	0.0002714197592172908	FCRL1;TCL1A;DOK3;KCNK13;CD207;SLC25A47;SH2B2
Cancer_Cell_Line_Encyclopedia	SW1116 LARGE INTESTINE	3/185	0.9993206707990908	1.0	0	0	0.2643230027093108	0.00017962335281695478	EXOC3L4;HEPH;DIO3
Cancer_Cell_Line_Encyclopedia	MDAMB468 BREAST	1/115	0.9993232704545716	1.0	0	0	0.1417384217426739	9.595104783321065e-05	EMD
Cancer_Cell_Line_Encyclopedia	CAL148 BREAST	4/215	0.9993301437186568	1.0	0	0	0.303254297682	0.00020320486277431167	PTPRD;DEGS2;PRIMA1;OAZ3
Cancer_Cell_Line_Encyclopedia	SNU16 STOMACH	2/153	0.9993344794619852	1.0	0	0	0.21307083007068625	0.00014185022081895406	HEPH;DEGS2
Cancer_Cell_Line_Encyclopedia	C32 SKIN	2/153	0.9993344794619852	1.0	0	0	0.21307083007068625	0.00014185022081895406	SERPINA3;KDR
Cancer_Cell_Line_Encyclopedia	ZR751 BREAST	3/186	0.9993561260591532	1.0	0	0	0.2629019112968951	0.00016933020918929336	CATSPERB;DEGS2;OAZ3
